sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,0,106.1,9.55,-0.427,0.527,43,not_out,5.2,anchored,True,not_out,not_out,not_out,not_out,not_out,True,0.277,0.0145,0.2513,0.2136,8.006,0.2884,13.0276,0.1009,0.5013
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,0,106.1,9.55,-0.427,0.527,43,not_out,5.2,parabola,True,umpires_call,not_out,not_out,umpires_call,umpires_call,False,115.3152,88.3094,0.0,0.0,957.798,72.3256,69.0276,1000.0,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,1,85.9,8.04,-0.298,0.562,51,not_out,4.15,anchored,True,not_out,not_out,not_out,not_out,not_out,True,3.2177,5.0647,0.301,0.5376,0.7974,0.7295,13.7475,0.1947,0.5191
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,1,85.9,8.04,-0.298,0.562,51,not_out,4.15,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,2,98.1,9.26,0.427,0.675,43,not_out,2.31,anchored,True,not_out,not_out,not_out,not_out,not_out,True,3.7736,1.1321,0.3852,0.1627,8.5825,1.1652,15.6888,0.161,0.6434
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,2,98.1,9.26,0.427,0.675,43,not_out,2.31,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,102.5919,98.6259,2516.359,0.0,2894.3616,1.0258,16.0725,32.6994,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,3,81.1,8.65,0.254,0.646,49,not_out,3.23,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.4379,0.3787,0.2963,1.0625,5.8811,0.3787,9.1483,0.4096,0.6138
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,3,81.1,8.65,0.254,0.646,49,not_out,3.23,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,55.8941,65.2261,317.0264,0.0,3400.1279,10.7304,48.4783,14.697,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,4,96.6,2.33,-0.587,0.687,39,not_out,4.94,anchored,True,not_out,not_out,not_out,not_out,not_out,True,3.9098,1.9207,6.6711,8.4671,3.8756,4.0329,18.7314,1.2568,0.691
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,4,96.6,2.33,-0.587,0.687,39,not_out,4.94,parabola,True,not_out,not_out,not_out,not_out,not_out,False,14.9546,2.9204,45.5781,22.5793,11.3504,6.2326,45.9286,7.6507,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,5,127.5,2.19,-0.154,0.605,30,out,2.53,anchored,True,out,out,out,out,out,True,1.4679,2.2772,0.7595,3.8341,0.8866,1.3773,18.5348,0.5847,0.6272
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,5,127.5,2.19,-0.154,0.605,30,out,2.53,parabola,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,False,11.0049,22.3791,9.144,23.1932,211.7936,0.9702,65.612,7.514,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,6,106.9,8.09,0.227,0.611,42,not_out,2.89,anchored,True,not_out,not_out,not_out,not_out,not_out,True,0.8322,0.5738,0.2402,0.4494,2.7385,0.062,13.897,0.0908,0.5782
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,6,106.9,8.09,0.227,0.611,42,not_out,2.89,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,48.06,98.7288,163.0031,0.0,3679.6557,6.8662,105.8422,14.2914,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,7,69.0,5.72,0.111,0.52,60,umpires_call,3.21,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.0128,3.5434,0.5554,1.9675,4.7351,0.3643,9.1996,0.52,0.4913
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,7,69.0,5.72,0.111,0.52,60,umpires_call,3.21,parabola,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,False,33.8812,48.277,7.8258,0.0,309.6163,0.7409,36.9769,15.2436,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,8,97.4,9.94,0.131,0.647,46,umpires_call,3.18,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,2.2694,2.1563,0.1596,0.5696,2.9891,1.0105,13.6234,0.1504,0.6249
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,8,97.4,9.94,0.131,0.647,46,umpires_call,3.18,parabola,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,False,19.0502,125.3768,19.2207,0.0,1392.0137,0.4051,119.4244,16.7369,0.55
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,9,132.8,7.05,0.345,0.497,32,not_out,2.92,anchored,True,not_out,not_out,not_out,not_out,not_out,True,4.2962,5.2903,0.7485,0.6484,2.5561,0.8659,17.5584,0.2193,0.4403
noise_px=0.0,striker_ref,60.0,0.0,0.1,0.05,2.0,True,9,132.8,7.05,0.345,0.497,32,not_out,2.92,parabola,True,not_out,not_out,not_out,not_out,not_out,False,133.7839,55.3286,0.0,0.0,632.8164,63.9824,95.8527,1000.0,0.55
