camera,contact_x_err_cm,contact_y_err_cm,i,length_m,line_m,n_frames,n_track,reproj_px,sigma_y_cm,sigma_z_cm,speed_err_kmh,speed_kmh,truth,truth_y_cm,truth_z_cm,verdict,warnings,y_err_cm,z_err_cm
striker_ref,1.31,0.77,0,2.0,-0.4,67,25,3.12,16.49,30.36,5.8,90,not_out,-44.73,30.5,not_out,,0.59,0.82
striker_ref,2.08,0.15,1,4.0,-0.4,68,33,2.7,14.17,24.81,2.1,90,not_out,-50.72,49.72,not_out,,0.55,0.82
striker_ref,3.07,0.09,2,6.0,-0.4,68,36,2.24,3.31,5.1,27.5,90,not_out,-58.58,63.06,not_out,,0.6,0.32
striker_ref,122.45,38.97,3,8.0,-0.4,69,19,3.82,,,44.0,90,not_out,-69.3,73.46,not_out,,,
striker_ref,297.0,2.59,4,2.0,-0.2,67,22,4.25,44.01,23.66,27.3,90,not_out,-22.36,30.5,umpires_call,,3.23,19.71
striker_ref,2.39,0.48,5,4.0,-0.2,68,33,3.0,6.97,24.99,1.4,90,not_out,-25.36,49.72,not_out,,0.96,2.12
striker_ref,1.61,0.4,6,6.0,-0.2,68,35,2.51,2.15,6.43,32.2,90,not_out,-29.29,63.06,not_out,,0.18,0.87
striker_ref,5.64,0.28,7,8.0,-0.2,69,40,1.99,1.91,4.59,1.5,90,not_out,-34.65,73.46,not_out,,2.9,6.38
striker_ref,296.02,0.35,8,2.0,0.0,67,23,3.51,45.23,24.36,26.6,90,out,0.0,30.5,umpires_call,,0.55,19.95
striker_ref,4.52,0.55,9,4.0,0.0,68,35,3.84,0.72,9.69,0.3,90,out,0.0,49.72,out,,0.14,2.47
striker_ref,3.06,0.14,10,6.0,0.0,68,36,5.01,2.43,31.01,30.6,90,out,0.0,63.06,umpires_call,,1.74,5.45
striker_ref,8.82,0.37,11,8.0,0.0,69,41,3.37,0.47,4.87,6.4,90,umpires_call,0.0,73.46,umpires_call,,0.74,6.88
striker_ref,1.36,0.04,12,2.0,0.2,67,27,2.26,2.47,6.0,6.8,90,not_out,22.36,30.5,not_out,,0.02,0.64
striker_ref,0.18,1.22,13,4.0,0.2,68,30,3.46,7.0,23.38,5.2,90,not_out,25.36,49.72,not_out,,0.51,2.54
striker_ref,1.78,0.21,14,6.0,0.2,68,36,2.1,4.28,13.11,31.8,90,not_out,29.29,63.06,not_out,,0.48,1.0
striker_ref,9.51,2.88,15,8.0,0.2,69,39,3.71,2.82,6.93,7.9,90,not_out,34.65,73.46,not_out,,3.98,8.78
striker_ref,0.81,0.14,16,2.0,0.4,67,26,2.5,4.28,7.31,6.2,90,not_out,44.73,30.5,not_out,,0.41,0.37
striker_ref,0.77,0.3,17,4.0,0.4,68,31,2.84,10.46,18.81,5.2,90,not_out,50.72,49.72,not_out,,0.8,2.07
striker_ref,2.02,0.87,18,6.0,0.4,68,36,2.37,6.47,9.97,32.8,90,not_out,58.58,63.06,not_out,,0.11,0.85
striker_ref,22.49,2.84,19,8.0,0.4,69,39,3.33,3.92,4.76,11.3,90,not_out,69.3,73.46,not_out,,7.53,7.97
striker_ref,4.07,0.07,20,2.0,-0.4,61,26,3.59,12.36,23.81,1.1,105,not_out,-44.73,27.23,not_out,,2.17,2.18
striker_ref,2.21,0.18,21,4.0,-0.4,62,31,2.2,5.3,9.57,31.0,105,not_out,-50.72,46.26,not_out,,5.51,9.27
striker_ref,5.55,0.95,22,6.0,-0.4,62,34,1.67,4.99,7.14,19.5,105,not_out,-58.58,62.46,not_out,used the colour track over a shorter learned-detector arc,3.3,4.22
striker_ref,13.45,0.45,23,8.0,-0.4,63,37,2.58,2.16,2.5,0.4,105,not_out,-69.3,78.78,not_out,,19.76,20.15
striker_ref,0.46,0.22,24,2.0,-0.2,61,22,3.45,14.25,29.35,6.2,105,not_out,-22.36,27.23,umpires_call,,0.45,0.76
striker_ref,0.22,0.46,25,4.0,-0.2,62,30,2.79,3.16,11.19,32.7,105,not_out,-25.36,46.26,not_out,,1.18,2.03
striker_ref,11.41,0.47,26,6.0,-0.2,62,35,2.73,9.2,25.99,14.9,105,not_out,-29.29,62.46,not_out,,2.13,5.27
striker_ref,4.71,0.96,27,8.0,-0.2,63,37,3.21,0.9,1.92,3.2,105,not_out,-34.65,78.78,not_out,,4.93,7.99
striker_ref,47.92,0.38,28,2.0,0.0,61,25,2.57,56.2,66.2,15.5,105,out,0.0,27.23,umpires_call,,9.59,87.24
striker_ref,0.24,0.33,29,4.0,0.0,62,31,3.27,2.54,32.0,34.9,105,out,0.0,46.26,umpires_call,,0.4,2.25
striker_ref,13.84,0.49,30,6.0,0.0,62,32,2.71,2.35,25.61,5.5,105,out,0.0,62.46,umpires_call,,1.37,0.1
striker_ref,4.41,0.08,31,8.0,0.0,63,35,3.02,0.18,1.73,8.4,105,not_out,0.0,78.78,umpires_call,,0.33,4.93
